127.0.0.1 - - [13/Oct/2020:17:32:52 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [13/Oct/2020:17:33:33 +0530] "GET /aios HTTP/1.1" 404 959
0:0:0:0:0:0:0:1 - - [13/Oct/2020:17:33:33 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [13/Oct/2020:17:33:44 +0530] "GET /Aios HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Oct/2020:17:33:44 +0530] "GET /Aios/ HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [13/Oct/2020:17:34:30 +0530] "GET /Aios/main HTTP/1.1" 200 6281
0:0:0:0:0:0:0:1 - - [13/Oct/2020:17:34:30 +0530] "GET /Aios/pic.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2020:17:34:38 +0530] "GET /Aios/index HTTP/1.1" 200 9290
0:0:0:0:0:0:0:1 - - [13/Oct/2020:17:34:49 +0530] "GET /Aios/index HTTP/1.1" 200 9290
0:0:0:0:0:0:0:1 - - [13/Oct/2020:17:40:27 +0530] "GET /Aios/login? HTTP/1.1" 200 5939
0:0:0:0:0:0:0:1 - - [13/Oct/2020:17:40:27 +0530] "GET /Aios/pic.png HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [13/Oct/2020:17:40:36 +0530] "POST /Aios/login HTTP/1.1" 200 6312
0:0:0:0:0:0:0:1 - - [13/Oct/2020:17:40:43 +0530] "GET /Aios/leave HTTP/1.1" 200 9809
0:0:0:0:0:0:0:1 - - [13/Oct/2020:17:40:44 +0530] "GET /fonts/OpenSans/OpenSans-Regular.ttf HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [13/Oct/2020:17:40:50 +0530] "GET /Aios/status HTTP/1.1" 200 3318
0:0:0:0:0:0:0:1 - - [13/Oct/2020:17:40:52 +0530] "GET /Aios/bonus HTTP/1.1" 200 5197
0:0:0:0:0:0:0:1 - - [13/Oct/2020:17:40:56 +0530] "GET /Aios/leave HTTP/1.1" 200 9809
0:0:0:0:0:0:0:1 - - [13/Oct/2020:17:40:57 +0530] "GET /fonts/OpenSans/OpenSans-Regular.ttf HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [13/Oct/2020:17:40:59 +0530] "GET /Aios/index HTTP/1.1" 200 9290
0:0:0:0:0:0:0:1 - - [13/Oct/2020:17:41:02 +0530] "GET /Aios/login? HTTP/1.1" 200 5939
0:0:0:0:0:0:0:1 - - [13/Oct/2020:17:43:52 +0530] "POST /Aios/login HTTP/1.1" 200 6318
0:0:0:0:0:0:0:1 - - [13/Oct/2020:17:43:57 +0530] "GET /Aios/leave HTTP/1.1" 200 11186
0:0:0:0:0:0:0:1 - - [13/Oct/2020:17:43:57 +0530] "GET /fonts/OpenSans/OpenSans-Regular.ttf HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [13/Oct/2020:17:44:06 +0530] "GET /Aios/cancel.jsp?qid=0&id=s1032190124 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Oct/2020:17:44:06 +0530] "GET /Aios/status HTTP/1.1" 200 3084
0:0:0:0:0:0:0:1 - - [13/Oct/2020:17:44:16 +0530] "GET /Aios/index HTTP/1.1" 200 9290
0:0:0:0:0:0:0:1 - - [13/Oct/2020:17:44:18 +0530] "GET /Aios/login? HTTP/1.1" 200 5939
0:0:0:0:0:0:0:1 - - [13/Oct/2020:17:44:31 +0530] "POST /Aios/login HTTP/1.1" 200 6313
0:0:0:0:0:0:0:1 - - [13/Oct/2020:17:44:34 +0530] "GET /Aios/leave HTTP/1.1" 200 9585
0:0:0:0:0:0:0:1 - - [13/Oct/2020:17:44:35 +0530] "GET /fonts/OpenSans/OpenSans-Regular.ttf HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [13/Oct/2020:17:44:36 +0530] "GET /Aios/application HTTP/1.1" 200 5295
0:0:0:0:0:0:0:1 - - [13/Oct/2020:17:44:47 +0530] "GET /Aios/leave HTTP/1.1" 200 9585
0:0:0:0:0:0:0:1 - - [13/Oct/2020:17:44:48 +0530] "GET /fonts/OpenSans/OpenSans-Regular.ttf HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [13/Oct/2020:17:44:51 +0530] "GET /Aios/index HTTP/1.1" 200 9290
0:0:0:0:0:0:0:1 - - [13/Oct/2020:17:44:53 +0530] "GET /Aios/login? HTTP/1.1" 200 5939
0:0:0:0:0:0:0:1 - - [13/Oct/2020:17:45:01 +0530] "POST /Aios/login HTTP/1.1" 200 6318
0:0:0:0:0:0:0:1 - - [13/Oct/2020:17:45:04 +0530] "GET /Aios/leave HTTP/1.1" 200 11186
0:0:0:0:0:0:0:1 - - [13/Oct/2020:17:45:05 +0530] "GET /fonts/OpenSans/OpenSans-Regular.ttf HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [13/Oct/2020:17:45:11 +0530] "GET /Aios/cancel.jsp?qid=0&id=s1032190124 HTTP/1.1" 302 -
